:norssi_1805 	owl:sameAs 	w:person_p286009 	.
:norssi_1805 	owl:sameAs 	w:person_p536655 	.
:norssi_2880 	owl:sameAs 	w:person_p7900 	.
:norssi_3452 	owl:sameAs 	w:person_p511718 	.
:norssi_2636 	owl:sameAs 	w:person_p509496 	.
:norssi_2389 	owl:sameAs 	w:person_p509562 	.
:norssi_3531 	owl:sameAs 	w:person_p3220 	.
:norssi_3123 	owl:sameAs 	w:person_p512015 	.
:norssi_3697 	owl:sameAs 	w:person_190 	.
:norssi_1332 	owl:sameAs 	w:person_3346 	.
:norssi_2286 	owl:sameAs 	w:person_2127 	.
:norssi_4085 	owl:sameAs 	w:person_p7897 	.
:norssi_1068 	owl:sameAs 	w:person_2971 	.
:norssi_1924 	owl:sameAs 	w:person_p285459 	.
:norssi_4761 	owl:sameAs 	w:person_p253157 	.
:norssi_696 	owl:sameAs 	w:person_3320 	.
:norssi_220 	owl:sameAs 	w:person_p517275 	.
:norssi_4345 	owl:sameAs 	w:person_p516560 	.
:norssi_3475 	owl:sameAs 	w:person_p7801 	.
:norssi_6439 	owl:sameAs 	w:person_p276456 	.
:norssi_3330 	owl:sameAs 	w:person_3820 	.
:norssi_2905 	owl:sameAs 	w:person_p8537 	.
:norssi_6439 	owl:sameAs 	w:person_p276233 	.
:norssi_4993 	owl:sameAs 	w:person_p18223 	.
:norssi_4993 	owl:sameAs 	w:person_p521510 	.
:norssi_3762 	owl:sameAs 	w:person_p511837 	.
:norssi_3709 	owl:sameAs 	w:person_3210 	.
:norssi_3709 	owl:sameAs 	w:person_p507350 	.
:norssi_3948 	owl:sameAs 	w:person_p511844 	.
:norssi_2464 	owl:sameAs 	w:person_p510593 	.
:norssi_4389 	owl:sameAs 	w:person_p8242 	.
:norssi_2425 	owl:sameAs 	w:person_p510362 	.
:norssi_6358 	owl:sameAs 	w:person_p259121 	.
:norssi_1964 	owl:sameAs 	w:person_p1811 	.
:norssi_1963 	owl:sameAs 	w:person_p1575 	.
:norssi_1964 	owl:sameAs 	w:person_p263934 	.
:norssi_1864 	owl:sameAs 	w:person_p521347 	.
:norssi_2799 	owl:sameAs 	w:person_p2463 	.
:norssi_4404 	owl:sameAs 	w:person_p8508 	.
:norssi_3394 	owl:sameAs 	w:person_4571 	.
:norssi_2806 	owl:sameAs 	w:person_p254424 	.
:norssi_2952 	owl:sameAs 	w:person_p9743 	.
:norssi_3769 	owl:sameAs 	w:person_p10495 	.
:norssi_2260 	owl:sameAs 	w:person_3483 	.
:norssi_1598 	owl:sameAs 	w:person_p510481 	.
:norssi_7114 	owl:sameAs 	w:person_p280402 	.
:norssi_2700 	owl:sameAs 	w:person_p9758 	.
:norssi_2424 	owl:sameAs 	w:person_p252260 	.
:norssi_5451 	owl:sameAs 	w:person_p512077 	.
:norssi_3587 	owl:sameAs 	w:person_p8743 	.
:norssi_3753 	owl:sameAs 	w:person_p9643 	.
:norssi_2576 	owl:sameAs 	w:person_p526662 	.
:norssi_2576 	owl:sameAs 	w:person_p752726 	.
:norssi_2481 	owl:sameAs 	w:person_p536358 	.
:norssi_3998 	owl:sameAs 	w:person_337 	.
:norssi_3346 	owl:sameAs 	w:person_p511894 	.
:norssi_3720 	owl:sameAs 	w:person_p511892 	.
:norssi_7505 	owl:sameAs 	w:person_p515834 	.
:norssi_1605 	owl:sameAs 	w:person_115 	.
:norssi_1265 	owl:sameAs 	w:person_61 	.
:norssi_7266 	owl:sameAs 	w:person_p522257 	.
:norssi_3973 	owl:sameAs 	w:person_p10068 	.
:norssi_3167 	owl:sameAs 	w:person_p510375 	.
:norssi_3674 	owl:sameAs 	w:person_p9813 	.
:norssi_8561 	owl:sameAs 	w:person_p534318 	.
:norssi_3677 	owl:sameAs 	w:person_p7877 	.
:norssi_3041 	owl:sameAs 	w:person_p261401 	.
:norssi_3642 	owl:sameAs 	w:person_p8769 	.
:norssi_1887 	owl:sameAs 	w:person_p531938 	.
:norssi_5872 	owl:sameAs 	w:person_p14 	.
:norssi_2978 	owl:sameAs 	w:person_p16692 	.
:norssi_2978 	owl:sameAs 	w:person_p264478 	.
:norssi_1780 	owl:sameAs 	w:person_p519604 	.
:norssi_3828 	owl:sameAs 	w:person_p753473 	.
:norssi_2360 	owl:sameAs 	w:person_p536979 	.
:norssi_3718 	owl:sameAs 	w:person_p9487 	.
:norssi_7903 	owl:sameAs 	w:person_p262060 	.
:norssi_9760 	owl:sameAs 	w:person_p515301 	.
:norssi_4047 	owl:sameAs 	w:person_p8995 	.
:norssi_4450 	owl:sameAs 	w:person_p509761 	.
:norssi_989 	owl:sameAs 	w:person_75 	.
:norssi_3540 	owl:sameAs 	w:person_p511959 	.
:norssi_2478 	owl:sameAs 	w:person_p510782 	.
:norssi_2736 	owl:sameAs 	w:person_4532 	.
:norssi_3355 	owl:sameAs 	w:person_p10547 	.
:norssi_6261 	owl:sameAs 	w:person_p2596 	.
:norssi_1797 	owl:sameAs 	w:person_p284414 	.
:norssi_3173 	owl:sameAs 	w:person_p284519 	.
:norssi_7357 	owl:sameAs 	w:person_p281945 	.
:norssi_7357 	owl:sameAs 	w:person_p511072 	.
:norssi_1761 	owl:sameAs 	w:person_p519559 	.
:norssi_1353 	owl:sameAs 	w:person_3654 	.
:norssi_893 	owl:sameAs 	w:person_2958 	.
:norssi_4379 	owl:sameAs 	w:person_p9835 	.
:norssi_3333 	owl:sameAs 	w:person_p8766 	.
:norssi_1622 	owl:sameAs 	w:person_2410 	.
:norssi_2588 	owl:sameAs 	w:person_3791 	.
:norssi_1690 	owl:sameAs 	w:person_p515411 	.
:norssi_3493 	owl:sameAs 	w:person_p518809 	.
:norssi_3019 	owl:sameAs 	w:person_p8441 	.
