:norssi_5798 	owl:sameAs 	<http://ldf.fi/history/histo/p2427> 	.
:norssi_2377 	owl:sameAs 	<http://ldf.fi/history/kb/p3059> 	.
:norssi_824 	owl:sameAs 	<http://ldf.fi/history/kb/p2378> 	.
:norssi_3784 	owl:sameAs 	<http://ldf.fi/history/kb/p101> 	.
:norssi_741 	owl:sameAs 	<http://ldf.fi/history/kb/p446> 	.
:norssi_926 	owl:sameAs 	<http://ldf.fi/history/kb/p4620> 	.
:norssi_618 	owl:sameAs 	<http://ldf.fi/history/kb/p2478> 	.
:norssi_1453 	owl:sameAs 	<http://ldf.fi/history/kb/p2206> 	.
:norssi_1784 	owl:sameAs 	<http://ldf.fi/history/kb/p723> 	.
:norssi_2275 	owl:sameAs 	<http://ldf.fi/history/kb/p104> 	.
:norssi_2169 	owl:sameAs 	<http://ldf.fi/history/histo/p2216> 	.
:norssi_2168 	owl:sameAs 	<http://ldf.fi/history/kb/p3364> 	.
:norssi_2548 	owl:sameAs 	<http://ldf.fi/history/kb/p455> 	.
:norssi_2690 	owl:sameAs 	<http://ldf.fi/history/kb/p2115> 	.
:norssi_1312 	owl:sameAs 	<http://ldf.fi/history/kb/p1211> 	.
:norssi_666 	owl:sameAs 	<http://ldf.fi/history/kb/p2558> 	.
:norssi_2293 	owl:sameAs 	<http://ldf.fi/history/kb/p2849> 	.
:norssi_2230 	owl:sameAs 	<http://ldf.fi/history/histo/p4331> 	.
:norssi_4770 	owl:sameAs 	<http://ldf.fi/history/kb/p2394> 	.
:norssi_3 	owl:sameAs 	<http://ldf.fi/history/kb/p6016> 	.
:norssi_2329 	owl:sameAs 	<http://ldf.fi/history/kb/p205> 	.
:norssi_3761 	owl:sameAs 	<http://ldf.fi/history/kb/p3795> 	.
:norssi_3761 	owl:sameAs 	<http://ldf.fi/history/kb/p4710> 	.
:norssi_1506 	owl:sameAs 	<http://ldf.fi/history/histo/p4725> 	.
:norssi_5730 	owl:sameAs 	<http://ldf.fi/history/kb/p5630> 	.
:norssi_1475 	owl:sameAs 	<http://ldf.fi/history/kb/p3999> 	.
:norssi_2843 	owl:sameAs 	<http://ldf.fi/history/kb/p3530> 	.
:norssi_2955 	owl:sameAs 	<http://ldf.fi/history/kb/p6134> 	.
:norssi_568 	owl:sameAs 	<http://ldf.fi/history/histo/p4244> 	.
:norssi_1657 	owl:sameAs 	<http://ldf.fi/history/kb/p1569> 	.
:norssi_6805 	owl:sameAs 	<http://ldf.fi/history/histo/p4869> 	.
:norssi_8103 	owl:sameAs 	<http://ldf.fi/history/kb/p5655> 	.
:norssi_1928 	owl:sameAs 	<http://ldf.fi/history/kb/p2104> 	.
:norssi_5328 	owl:sameAs 	<http://ldf.fi/history/histo/p2291> 	.
:norssi_7148 	owl:sameAs 	<http://ldf.fi/history/histo/p2291> 	.
:norssi_4239 	owl:sameAs 	<http://ldf.fi/history/kb/p2377> 	.
:norssi_2315 	owl:sameAs 	<http://ldf.fi/history/kb/p892> 	.
:norssi_676 	owl:sameAs 	<http://ldf.fi/history/kb/p2375> 	.
:norssi_403 	owl:sameAs 	<http://ldf.fi/history/histo/p4487> 	.
:norssi_786 	owl:sameAs 	<http://ldf.fi/history/kb/p1097> 	.
:norssi_1014 	owl:sameAs 	<http://ldf.fi/history/histo/p2578> 	.
:norssi_785 	owl:sameAs 	<http://ldf.fi/history/kb/p3277> 	.
:norssi_4786 	owl:sameAs 	<http://ldf.fi/history/kb/p1274> 	.
:norssi_2398 	owl:sameAs 	<http://ldf.fi/history/kb/p1439> 	.
:norssi_3070 	owl:sameAs 	<http://ldf.fi/history/kb/p1760> 	.
:norssi_1061 	owl:sameAs 	<http://ldf.fi/history/kb/p3516> 	.
:norssi_2173 	owl:sameAs 	<http://ldf.fi/history/histo/p2540> 	.
:norssi_48 	owl:sameAs 	<http://ldf.fi/history/kb/p3322> 	.
:norssi_7414 	owl:sameAs 	<http://ldf.fi/history/histo/p2308> 	.
:norssi_958 	owl:sameAs 	<http://ldf.fi/history/kb/p2413> 	.
:norssi_6047 	owl:sameAs 	<http://ldf.fi/history/kb/p1042> 	.
:norssi_1799 	owl:sameAs 	<http://ldf.fi/history/kb/p4457> 	.
:norssi_1787 	owl:sameAs 	<http://ldf.fi/history/kb/p1720> 	.
:norssi_862 	owl:sameAs 	<http://ldf.fi/history/histo/p2553> 	.
:norssi_1058 	owl:sameAs 	<http://ldf.fi/history/kb/p4358> 	.
:norssi_4799 	owl:sameAs 	<http://ldf.fi/history/kb/p3107> 	.
:norssi_4685 	owl:sameAs 	<http://ldf.fi/history/kb/p1929> 	.
:norssi_819 	owl:sameAs 	<http://ldf.fi/history/kb/p2038> 	.
:norssi_3964 	owl:sameAs 	<http://ldf.fi/history/kb/p753> 	.
:norssi_1573 	owl:sameAs 	<http://ldf.fi/history/kb/p5857> 	.
:norssi_2590 	owl:sameAs 	<http://ldf.fi/history/kb/p4732> 	.
:norssi_775 	owl:sameAs 	<http://ldf.fi/history/kb/p911> 	.
:norssi_5178 	owl:sameAs 	<http://ldf.fi/history/kb/p771> 	.
:norssi_2946 	owl:sameAs 	<http://ldf.fi/history/kb/p1250> 	.
:norssi_1503 	owl:sameAs 	<http://ldf.fi/history/kb/p1898> 	.
