uri	wikilink	description
norssi_3514	https://fi.wikipedia.org/wiki?curid=53081	"""Kari Yrjänä Suomalainen, pilapiirtäjä Kari (15. lokakuuta 1920 Helsinki – 10. elokuuta 1999 Valkeakoski), oli suomalainen taiteilija,..."""
norssi_3697	https://fi.wikipedia.org/wiki?curid=1077910	"""Ermei Kanninen (19. lokakuuta 1922 Helsinki – 12. marraskuuta 2015 Helsinki) oli suomalainen kenraaliluutnantti.
Kanninen kävi Kadettikoulun..."""
norssi_3031	https://fi.wikipedia.org/wiki?curid=442636	"""Risto Jalmari Leskinen (21. helmikuuta 1915 Joensuu – 18. syyskuuta 1996 Helsinki) oli suomalainen virkamies, joka toimi eduskunnan oikeusasiamiehenä..."""
norssi_5745	https://fi.wikipedia.org/wiki?curid=198758	"""Risto Kalevi Aaltonen (s. 16. maaliskuuta 1939 Helsinki) on suomalainen näyttelijä. Hän opiskeli ylioppilastutkinnon jälkeen Suomen Teatterikoulussa..."""
norssi_640	https://fi.wikipedia.org/wiki?curid=503121	"""Eino Johannes Ahla (14. syyskuuta 1888 Helsinki − 26. heinäkuuta 1961) oli suomalainen juristi, jonka ura huipentui korkeimman hallinto-oikeuden..."""
norssi_685	https://fi.wikipedia.org/wiki?curid=701308	"""Väinö Jeremias Ahla (4. marraskuuta 1890 Helsinki – 4. heinäkuuta 1977 Helsinki) oli suomalainen maanmittari ja juristi. Ahla toimi Maanmittaushallituksen..."""
norssi_2876	https://fi.wikipedia.org/wiki?curid=527518	"""Kauko Kalervo Ahlström (25. heinäkuuta 1914 Helsinki – 3. maaliskuuta 1983) oli suomalainen keilaaja ja yleisurheilija.
Ahlström saavutti..."""
norssi_5661	https://fi.wikipedia.org/wiki?curid=1200203	"""Sampo Ilmari Ahto (s. 13. tammikuuta 1938 Helsinki) on suomalainen yleisesikuntaeversti ja sotahistorioitsija.
Ahto valmistui 1973 yleisesikuntaupseeriksi..."""
norssi_5516	https://fi.wikipedia.org/wiki?curid=1096998	"""Jussi Pekka (Jussi-Pekka) Yrjänä Alanen (s. 23. joulukuuta 1938 Helsinki) on suomalainen maaneuvos ja varatuomari.
Alanen oli Helsingin..."""
norssi_7485	https://fi.wikipedia.org/wiki?curid=532849	"""Antti Arvi Tapani Alanen (s. 10. huhtikuuta 1955 Helsinki) on suomalainen erikoistutkija. Hän on työskennellyt Suomen elokuva-arkiston eli nykyisen..."""
norssi_61	https://fi.wikipedia.org/wiki?curid=1092419	"""Vihtori Alava, ent. Forsberg (23. syyskuuta 1870 Virolahti – 5. huhtikuuta 1935 Helsinki) oli suomalainen kielitieteilijä, joka tutki..."""
norssi_820	https://fi.wikipedia.org/wiki?curid=782538	"""Johannes Alfthan (4. heinäkuuta 1830 Viipuri – 20. lokakuuta 1893 Tukholma) oli suomalainen toimittaja, kirjankustantaja ja ruotsiksi kirjoittanut..."""
norssi_3324	https://fi.wikipedia.org/wiki?curid=1049070	"""Antti Rikhard Alha (7. helmikuuta 1917 Tampere – 1989) oli suomalainen oikeuslääketieteilijä. Hän oli Helsingin yliopiston oikeuskemian apulaisprofessori..."""
norssi_1374	https://fi.wikipedia.org/wiki?curid=53376	"""Vilho Annala (17. tammikuuta 1888 Lapua – 28. heinäkuuta 1960 Helsinki) oli suomalainen poliitikko, kansanedustaja ja kansantaloustieteen professori..."""
norssi_1642	https://fi.wikipedia.org/wiki?curid=474104	"""Leo Otto Anttila (20. huhtikuuta 1903 Tampere – 7. elokuuta 1967 Kotka) oli kotkalainen kirjailija ja lakimies. Hän kirjoitti vuonna 1948 sanat..."""
norssi_4243	https://fi.wikipedia.org/wiki?curid=443706	"""Kalle Anttila (oikea nimi Kaarlo Einari Anttila) (4. kesäkuuta 1926 Helsinki – 17. helmikuuta 1993 Palm Beach, Florida, Yhdysvallat) oli..."""
norssi_3525	https://fi.wikipedia.org/wiki?curid=700447	"""Eino Lauri Samuli Apajalahti (1. kesäkuuta 1920 Helsinki – 16. kesäkuuta 2009) oli suomalainen ammattiyhdistysjohtaja ja kouluneuvos...."""
norssi_6464	https://fi.wikipedia.org/wiki?curid=133180	"""Aarno Jorma Arvela (26. maaliskuuta 1946 Helsinki – 21. syyskuuta 2011 Espoo) oli suomalainen asianajaja...."""
norssi_6690	https://fi.wikipedia.org/wiki?curid=1171113	"""Lasse Henrik Arvela (s. 25. marraskuuta 1947 Helsinki) on Suomen verotuksen ja verolainsäädännön tärkeimpiä ja pitkaikaisimpia vaikuttajia. Hän..."""
norssi_5945	https://fi.wikipedia.org/wiki?curid=539460	"""Kari Aaro Juhani Asikainen (24. lokakuuta 1939 Parkano) on suomalainen sisustusarkkitehti. Hän valmistui Taideteollisesta oppilaitoksesta vuonna..."""
norssi_8576	https://fi.wikipedia.org/wiki?curid=539460	"""Kari Aaro Juhani Asikainen (24. lokakuuta 1939 Parkano) on suomalainen sisustusarkkitehti. Hän valmistui Taideteollisesta oppilaitoksesta vuonna..."""
norssi_3070	https://fi.wikipedia.org/wiki?curid=11679	"""Teuvo Ensio Aura (28. joulukuuta 1912 Ruskeala – 11. tammikuuta 1999 Helsinki) oli suomalainen poliitikko, talousmies ja juristi. Hän toimi kaksi..."""
norssi_2342	https://fi.wikipedia.org/wiki?curid=311719	"""Fritz-Hugo Backman (28. helmikuuta 1907 Berliini, Saksa – 8. huhtikuuta 1993 Helsinki) oli suomalainen näyttelijä ja teatterinjohtaja. Backman..."""
norssi_9071	https://fi.wikipedia.org/wiki?curid=141738	"""Aleksi Bardy (s. 29. syyskuuta 1970 Helsinki) on suomalainen käsikirjoittaja ja elokuvatuotantoyhtiö Helsinki-filmin toimitusjohtaja. Vuodesta..."""
norssi_5042	https://fi.wikipedia.org/wiki?curid=96916	"""Paavo Allan Engelbert Berglund (14. huhtikuuta 1929 Helsinki – 25. tammikuuta 2012 Helsinki) oli suomalainen kapellimestari ja viulisti...."""
norssi_7907	https://fi.wikipedia.org/wiki?curid=1211153	"""Juha Tapio Berglund (s. 19. toukokuuta 1959 Helsinki) on suomalainen viinialan yrittäjä, tietokirjailija ja Nanso Group Oy:n hallituksen puheenjohtaja..."""
norssi_3	https://fi.wikipedia.org/wiki?curid=545307	"""Väinö Alfred Blomstedt (1. huhtikuuta 1871 Savonlinna – 2. helmikuuta 1947 Helsinki) oli suomalainen taidemaalari, kuvittaja, piirtäjä ja tekstiilitaiteilija..."""
norssi_4001	https://fi.wikipedia.org/wiki?curid=528159	"""Yrjö Reinhold Emanuel Blomstedt (25. maaliskuuta 1926 Helsinki – 13. huhtikuuta 1994 Helsinki) oli suomalainen historioitsija, filosofian tohtori..."""
norssi_1637	https://fi.wikipedia.org/wiki?curid=994988	"""Arno Wilhelm (Wille) Boijer-Poijärvi (5. huhtikuuta 1899 Pöytyä – 22. toukokuuta 1975) oli suomalainen taidemaalari. Hänen teoksiaan oli ensi..."""
norssi_403	https://fi.wikipedia.org/wiki?curid=1051882	"""Toivo Ilmari Bonsdorff (15. helmikuuta 1879 Hämeenlinna – 17. lokakuuta 1950 Lahti) oli suomalainen geodeetti ja tähtitieteilijä. Hän oli Helsingin..."""
