id	snimi	enimet	birth_place	birth_date	death_place	death_date					
http://ldf.fi/history/histo/p1884	Eucken	Rudolf		1846		1926					
http://ldf.fi/history/histo/p3001	Puhakka	Onni Olof		1870		1955					
http://ldf.fi/history/kb/p578	Aaku	Eero	Loimaa	1898	Helsinki	1959	
http://ldf.fi/history/kb/p5872	Aalberg	Ida	Janakkala, Janakkala	1857, 1857	Venäjä, Pietari	1915, 1915
http://ldf.fi/history/kb/p1744	Aalle-Teljo	Ida	Nurmijärvi	1875	Helsinki	1955
http://ldf.fi/history/histo/p4125	Aalle-Teljo	Ida		1875		1955					
http://ldf.fi/history/kb/p630	Aalto	Alvar	Kuortane	1898	Helsinki	1976
http://ldf.fi/history/histo/p3224	Aalto	Alvar		1898		1976					
http://ldf.fi/history/kb/p589	Aalto	Arvo	Rovaniemi	1932			
http://ldf.fi/history/kb/p5268	Aalto	Erkki	Jämsä	1904		1984
http://ldf.fi/history/kb/p5205	Aalto	Ilmari	Kuopio	1891	Helsinki	1934
http://ldf.fi/history/kb/p2697	Aalto	Juho Lauri	Artjärvi	1894	Helsinki	1965
http://ldf.fi/history/kb/p659	Aalto	Pentti	Pori	1917	Helsinki	1998
http://ldf.fi/history/kb/p956	Aaltoila	Heikki	Hausjärvi	1905	Helsinki	1992
http://ldf.fi/history/kb/p3095	Aaltonen	Aimo	Parainen	1906	Helsinki	1987
http://ldf.fi/history/histo/p3785	Aaltonen	Aimo		1906		1987					
http://ldf.fi/history/kb/p174	Aaltonen	Aleksi	Somero	1892	Helsinki	1956
http://ldf.fi/history/kb/p4070	Aaltonen	Arvo	Pori	1892	Pori	1949
http://ldf.fi/history/kb/p323	Aaltonen	Emil	Sääksmäki	1869	Tampere	1949
http://ldf.fi/history/kb/p4338	Aaltonen	Esko	Forssa	1893	Helsinki	1966
http://ldf.fi/history/kb/p4852	Aaltonen	Urho	Messukylä	1889	Tampere	1919
http://ldf.fi/history/kb/p3447	Aaltonen	Viktor Toivo	Turku	1889	Helsinki	1955
http://ldf.fi/history/kb/p1896	Aaltonen	Wäinö	Karinainen	1894	Helsinki	1966
http://ldf.fi/history/histo/p1695	Aaltonen	Wäinö		1894		1966					
http://ldf.fi/history/kb/p4924	Aarikka	Kaija	Somero	1929			
http://ldf.fi/history/kb/p2373	Aario	Leo	Pori	1906	Espoo	1998
http://ldf.fi/history/kb/p2857	Aarne	Antti	Pori	1867	Helsinki	1925
http://ldf.fi/history/kb/p787	Aarnio	Aarne Johannes	Viipuri	1917			
http://ldf.fi/history/kb/p779	Aarnio	Aulis	Kymi	1937			
http://ldf.fi/history/kb/p3388	Aarnio	Eero	Helsinki	1932			
http://ldf.fi/history/kb/p5228	Aarnio	Hjalmar	Kaarina	1880	Turku	1943
http://ldf.fi/history/kb/p3197	Aarnio	Matti	Kouvola	1901		1984
http://ldf.fi/history/kb/p5371	Aarnio	Olavi	Heinola	1918		1988
http://ldf.fi/history/kb/p4810	Aarnio	Pekka	Tampere	1930	Riihimäki	1960
http://ldf.fi/history/kb/p3443	Aarnisalo	Otto	Viipuri	1864	Sortavala	1942
http://ldf.fi/history/kb/p4530	Aarts 	Jan	Hollanti	1937			
http://ldf.fi/history/kb/p5913	Aattela	Hugo	Hollola	1897	Lahti	1959
http://ldf.fi/history/kb/p3631	Abdulla	Zahra	Mogadishu, Somalia	1965, 1965			
http://ldf.fi/history/kb/p3992	Acerbi	Giuseppe	Italia	1773		1846
http://ldf.fi/history/kb/p6189	Achrelius	Daniel	Turku	1644	Turku	1692
http://ldf.fi/history/kb/p143	Achrelius	Ericus	Ruotsi, Österåker	1604, 1604	Turku, Turku	1670, 1670
http://ldf.fi/history/kb/p3684	Achrenius	Abraham	Somero	1706	Nousiainen	1769
http://ldf.fi/history/histo/p4037	Achrenius	Abraham		1706		1769					
http://ldf.fi/history/histo/p1794	Achrenius	Abraham		1706		1769					
http://ldf.fi/history/kb/p5749	Achrenius	Anders	Turku	1745	Nousiainen	1810
http://ldf.fi/history/kb/p6067	Achrenius	Henrik	Sievi	1730	Kalajoki	1798
http://ldf.fi/history/histo/p3002	Achrenius	Henrik		1730		1798					
http://ldf.fi/history/kb/p6271	Achrenius	Simon	Sievi	1729	Kruunupyy	1782
http://ldf.fi/history/kb/p3269	Achté	Emmy	Oulu	1850	Helsinki	1924
http://ldf.fi/history/kb/p4761	Achté	Kalle	Mikkeli	1928			
http://ldf.fi/history/kb/p2364	Achté	Lorenz	Pori	1835	Helsinki	1900
http://ldf.fi/history/kb/p735	Ackté	Aino	Helsinki	1876	Nummela	1944
http://ldf.fi/history/histo/p2905	Ackté	Aino		1876		1944					
http://ldf.fi/history/kb/p5407	Adams	Abel	Karttula	1879	Helsinki	1938
http://ldf.fi/history/kb/p2193	Adelborg	Per Otto	Loviisa, Loviisa	1781, 1781	Ruotsi, Västervik	1818, 1818
http://ldf.fi/history/kb/p5773	Adler Salvius	Johan	Ruotsi, Ruotsi, Strängnäs, Strängnäs	1590, 1590, 1590, 1590	Ruotsi, Tukholma, Ruotsi, Tukholma	1652, 1652, 1652, 1652
http://ldf.fi/history/kb/p4047	Adlerberg	Nikolai Vladimirovitsh	Venäjä, Venäjä, Pietari, Pietari	1819, 1819, 1819, 1819	Saksa, München, Saksa, München	1892, 1892, 1892, 1892
http://ldf.fi/history/kb/p400	Adlercreutz	Carl Johan	Pernaja, Pernaja	1757, 1757	Ruotsi, Tukholma	1815, 1815
http://ldf.fi/history/histo/p3463	Adlercreutz	Carl Johan		1757		1815					
http://ldf.fi/history/kb/p2296	Adlercreutz	Herman	Helsinki	1932			
http://ldf.fi/history/kb/p5221	Adlercreutz	Tomas	Lohja, Lohja	1643, 1643	Ruotsi, Tukholma	1710, 1710
http://ldf.fi/history/kb/p5389	Aejmelaeus	Nils	Isokyrö, Isokyrö, Vaasa, Vaasa	1722, 1722, 1812, 1812	Saloinen, Porvoo, Saloinen, Porvoo	1773, 1854, 1773, 1854
http://ldf.fi/history/kb/p3724	Affleck	Simon		1660	Lieksa	1725
http://ldf.fi/history/kb/p3771	Afzelius	Anders	Ruotsi, Ruotsi, Forshem, Forshem	1779, 1779, 1779, 1779	Riika, Latvia, Riika, Latvia	1850, 1850, 1850, 1850
http://ldf.fi/history/kb/p4023	Agricola	Kristian	Turku, Turku	1550, 1550	Viro, Tallinna	1586, 1586
http://ldf.fi/history/kb/p1860	Agricola	Mikael	Pernaja	1510	Viipuri	1557
http://ldf.fi/history/histo/p3101	Agricola	Mikael		1510		1557					
http://ldf.fi/history/kb/p5032	Agricola	Zelée	Helsinki	1838	Helsinki	1925
http://ldf.fi/history/kb/p2965	Ahava	Iivar	Kuopio	1873		1947
http://ldf.fi/history/kb/p1115	Ahava	Teini	Viipuri	1900	Helsinki	1960
http://ldf.fi/history/kb/p1119	Ahde	Matti	Oulu	1945			
http://ldf.fi/history/histo/p3753	Ahde	Matti Allan		1945					
http://ldf.fi/history/kb/p153	Ahla	Eino	Helsinki	1888		1961
http://ldf.fi/history/kb/p4377	Ahla	Väinö	Helsinki	1890	Helsinki	1977
http://ldf.fi/history/kb/p3485	Ahlberg	Axel	Turku	1855	Hanko	1927
http://ldf.fi/history/kb/p6069	Ahlberg	Bruno	Espoo	1911	Helsinki	1966
http://ldf.fi/history/kb/p1381	Ahlfors	Lars	Helsinki, Helsinki, Helsinki	1907, 1907, 1907	Yhdysvallat, Massachusetts, Pittsfield	1996, 1996, 1996
http://ldf.fi/history/kb/p587	Ahlgrén	Lauri	Karkku	1929			
http://ldf.fi/history/histo/p3656	Ahlgrén	Olavi		1897		1966					
http://ldf.fi/history/kb/p3558	Ahlman	Einar	Pöytyä	1872	Kuusankoski	1937
http://ldf.fi/history/kb/p2270	Ahlman	Erik	Turku	1892	Helsinki	1952
http://ldf.fi/history/kb/p6361	Ahlman	Gabriel	Perniö	1737	Messukylä	1799
http://ldf.fi/history/kb/p3005	Ahlqvist	August	Kuopio	1826	Helsinki	1889
http://ldf.fi/history/kb/p5845	Ahlqvist	Carl Henrik	Virolahti	1825	Hamina	1909
http://ldf.fi/history/kb/p1630	Ahlstedt	Fredrik	Turku	1839	Parainen	1901
http://ldf.fi/history/kb/p3542	Ahlstedt	Nina	Turku	1853	Helsinki	1907
http://ldf.fi/history/kb/p175	Ahlström	Antti	Merikarvia	1827	Helsinki	1896
http://ldf.fi/history/kb/p2362	Ahlström	Hans	Helsinki	1904	Noormarkku	1960
http://ldf.fi/history/kb/p6007	Ahlström	Walter	Noormarkku	1875	Noormarkku	1931
http://ldf.fi/history/kb/p5368	Ahlstubbe	Lars	Oravainen	1804	Hamina	1870
http://ldf.fi/history/kb/p5754	Ahmala	Kössi	Lumijoki	1889	Viipuri	1918
http://ldf.fi/history/kb/p2877	Ahmavaara	Arvi	Ii	1886	Oulu	1957
http://ldf.fi/history/kb/p5849	Ahmavaara	Pekka	Ylitornio	1862	Oulu	1929
http://ldf.fi/history/kb/p2451	Ahnger	Alexandra	Kuopio	1859	Helsinki	1940
http://ldf.fi/history/kb/p2344	Aho	Aukusti	Turku	1867	Helsinki	1934
http://ldf.fi/history/kb/p2720	Aho	Esko	Veteli	1954			
http://ldf.fi/history/kb/p930	Aho	Heikki	Hausjärvi	1895	Helsinki	1961
http://ldf.fi/history/kb/p4383	Aho	Juhani	Kemi, Kemi, Lapinlahti, Lapinlahti	1896, 1896, 1861, 1861	Helsinki, Kokkola, Helsinki, Kokkola	1921, 1969, 1921, 1969
http://ldf.fi/history/histo/p4106	Aho	Juhani		1861		1921					
http://ldf.fi/history/kb/p1856	Aho	Kalevi	Forssa	1949			
http://ldf.fi/history/kb/p5340	Aho	Lauri	Uusimaa, Pyhäjärvi	1901, 1901	Helsinki, Helsinki	1985, 1985
http://ldf.fi/history/kb/p3416	Aho	Matti Lauri	Helsinki	1932	Helsinki	1996
http://ldf.fi/history/kb/p5747	Aho	Pekka	Lapinlahti	1864	Raahe	1945
http://ldf.fi/history/kb/p1071	Ahola	Pentti	Helsinki	1919	Helsinki	1972
http://ldf.fi/history/kb/p621	Ahola	Simbri	Alavus	1894		1967
http://ldf.fi/history/kb/p4789	Ahola-Valo	Aleksanteri	Karjala	1900	Ruotsi	1997
http://ldf.fi/history/histo/p3852	Ahonen	Pekka		1919		2002					
http://ldf.fi/history/kb/p2153	Ahrenberg	Johan Jacob	Viipuri	1847	Helsinki	1914
